id|title|url|price|sellerId|advertType|distance|city|c2type|monitortype|target_price|margin|date
m1833202461|Roeitrainer CONCEPT 2 PM3|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833202461-roeitrainer-concept-2-pm3|625|24708364|PACKAGE_FREE|156|Hengelo||PM3|0|0|2022-04-19T12:20:53Z
m1833238981|Concept 2 roeier. Met PM2 display|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1833238981-concept-2-roeier-met-pm2-display|650|1474638|PACKAGE_FREE|166|Oldenzaal||PM2|0|0|2022-04-19T13:58:31Z
m1833255235|Roeitrainer CONCEPT 2  ZO GOED ALS NIEUWE|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833255235-roeitrainer-concept-2-zo-goed-als-nieuwe|475|44642917|PACKAGE_FREE|74|Rhenen|||0|0|2022-04-19T14:40:43Z
m1833288309|Concept 2 Roeitrainer Model E met Pm5 Scherm|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1833288309-concept-2-roeitrainer-model-e-met-pm5-scherm|950|12832073|PACKAGE_FREE|82|Goirle|E|PM5|850|0|2022-04-19T16:12:40Z
m1833334820|Concept2 MP4 black|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833334820-concept2-mp4-black|850|22342950|PACKAGE_FREE|141|Helden|||0|0|2022-04-19T18:15:32Z
m1833378947|Grote en zware uitvoering Concept2 Model E met PM4 display|https://www.marktplaats.nl/v/sport-en-fitness/overige-sport-en-fitness/m1833378947-grote-en-zware-uitvoering-concept2-model-e-met-pm4-display|850|22976666|PACKAGE_FREE|150|Hoogeveen|E|PM4|750|0|2022-04-19T20:45:36Z
m1833409234|Concept 2 Model D met PM5 en antislipmat|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833409234-concept-2-model-d-met-pm5-en-antislipmat|900|16951947|PACKAGE_FREE|119|Hoog-Keppel|D|PM5|800|0|2022-04-20T05:28:00Z
m1833416655|Roeitrainer concept 2 model E met PM4|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833416655-roeitrainer-concept-2-model-e-met-pm4|725|45468333|PACKAGE_FREE|60|Amersfoort|E|PM4|750|25|2022-04-20T06:14:18Z
m1833435199|gratis Roeier concept II|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1833435199-gratis-roeier-concept-ii|NaN|6749771|PACKAGE_FREE|32|Pernis Rotterdam|||0|0|2022-04-20T07:24:04Z
m1833551225|Concept II roeimachine|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833551225-concept-ii-roeimachine|600|21851280|PACKAGE_FREE|41|Papendrecht|||0|0|2022-04-20T12:49:04Z
m1833559290|Roeitoestel, concept 2 inclusief documentatie|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833559290-roeitoestel-concept-2-inclusief-documentatie|NaN|11413170|PACKAGE_FREE|4|Rijnsburg|||0|0|2022-04-20T13:11:39Z
m1833609064|Roei trainer  CONCEPT 2|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833609064-roei-trainer-concept-2|500|13917036|PACKAGE_FREE|35|Amsterdam|||0|0|2022-04-20T15:24:44Z
m1833759504|Concept2 Roeitrainer type PM3|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833759504-concept2-roeitrainer-type-pm3|500|2863775|PACKAGE_FREE|36|Amsterdam||PM3|0|0|2022-04-21T06:01:15Z
m1833767529|Concept 2 roeitrainer model C met PM5|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833767529-concept-2-roeitrainer-model-c-met-pm5|650|13626855|PACKAGE_FREE|54|Almere|C|PM5|600|0|2022-04-21T06:42:34Z
m1833816488|Concept2 ergometer Model D met pm5 monitor|https://www.marktplaats.nl/v/sport-en-fitness/overige-sport-en-fitness/m1833816488-concept2-ergometer-model-d-met-pm5-monitor|750|4378901|PACKAGE_FREE|53|Blaricum|D|PM5|800|50|2022-04-21T09:14:30Z
m1833842643|Concept 2 model D PM5|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833842643-concept-2-model-d-pm5|650|4378901|PACKAGE_FREE|53|Blaricum|D|PM5|800|150|2022-04-21T10:26:48Z
m1833861610|concept 2 roeitrainer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833861610-concept-2-roeitrainer|NaN|39488688|PACKAGE_FREE|73|Halsteren|||0|0|2022-04-21T11:24:01Z
m1833872730|Concept 2 met PM5 monitor, concept 2, roeitrainer, roeier|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833872730-concept-2-met-pm5-monitor-concept-2-roeitrainer-roeier|NaN|7299491|PACKAGE_FREE|22|Delft||PM5|0|0|2022-04-21T11:58:36Z
m1833875179|Roeitrainer CONCEPT 2 zgan|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833875179-roeitrainer-concept-2-zgan|440|44490000|PACKAGE_FREE|84|Wageningen|||0|0|2022-04-21T12:05:54Z
m1833899429|Concept2 Indoor rower Nieuwstaat|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1833899429-concept2-indoor-rower-nieuwstaat|NaN|891829|PACKAGE_FREE|100|Apeldoorn|||0|0|2022-04-21T13:18:43Z
m1834040892|CONCEPT2 ROEIER ROW ERG|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1834040892-concept2-roeier-row-erg|500|12391164|PACKAGE_FREE|28|Rotterdam|||0|0|2022-04-21T21:01:06Z
m1834082488|Concept 2 met pm 5. Kan geleverd worden|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1834082488-concept-2-met-pm-5-kan-geleverd-worden|650|42796781|PACKAGE_FREE|47|Hilversum|||0|0|2022-04-22T06:52:14Z
m1834241979|Concept2 model D roeimachine|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1834241979-concept2-model-d-roeimachine|590|4378901|PACKAGE_FREE|53|Blaricum|D||0|0|2022-04-22T13:47:13Z
m1834322620|Roeitrainer CONCEPT 2 PM5 DISPLAY|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1834322620-roeitrainer-concept-2-pm5-display|450|44642917|PACKAGE_FREE|74|Rhenen||PM5|0|0|2022-04-22T17:18:38Z
m1834382284|CONCEPT 2  MODEL D MET PM4 SCHERM PLUS TEL HOUDER|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1834382284-concept-2-model-d-met-pm4-scherm-plus-tel-houder|NaN|23597783|PACKAGE_FREE|30|Vlaardingen|D|PM4|700|0|2022-04-22T21:03:53Z
m1834612473|Concept 2 PM5 roeimachine|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1834612473-concept-2-pm5-roeimachine|NaN|16547355|PACKAGE_FREE|179|Valthe||PM5|0|0|2022-04-23T13:46:04.656Z
m1834623332|Concept 2 roeitrainer in goede staat|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1834623332-concept-2-roeitrainer-in-goede-staat|NaN|16772728|PACKAGE_FREE|70|Roosendaal|||0|0|2022-04-23T14:10:55Z
m1834728046|Roeitrainer Concept 2      Fitness/roeimachine|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1834728046-roeitrainer-concept-2-fitness-roeimachine|450|14354810|PACKAGE_FREE|20|Delft|||0|0|2022-04-23T18:58:19Z
m1834904963|Reebok zig kinetica concept type 2 sportschoenen|https://www.marktplaats.nl/v/sport-en-fitness/loopsport-en-atletiek/m1834904963-reebok-zig-kinetica-concept-type-2-sportschoenen|NaN|22172084|PACKAGE_FREE|24|Gouda|||0|0|2022-04-24T10:52:03Z
m1834961634|Concept 2 Model D PM3 Indoor Rower|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1834961634-concept-2-model-d-pm3-indoor-rower|650|1130875|PACKAGE_FREE|22|Rotterdam|D|PM3|700|50|2022-04-24T12:47:18Z
m1834991179|Concept2 BikeErg|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1834991179-concept2-bikeerg|1000|7757836|PACKAGE_FREE|169|Nuth|||0|0|2022-04-24T13:55:54Z
m1835435147|Roeitrainer concept 2 model D met PM5|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1835435147-roeitrainer-concept-2-model-d-met-pm5|NaN|45468333|PACKAGE_FREE|60|Amersfoort|D|PM5|800|0|2022-04-25T16:54:23Z
m1835553577|Concept 2 roeimachine met PM 3 scherm|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1835553577-concept-2-roeimachine-met-pm-3-scherm|500|16772728|PACKAGE_FREE|70|Roosendaal|||0|0|2022-04-26T06:08:46Z
m1835924476|Concept 2 model e. met pm4 of 5|https://www.marktplaats.nl/v/sport-en-fitness/fitnessmaterialen/m1835924476-concept-2-model-e-met-pm4-of-5|800|42796781|PACKAGE_FREE|47|Hilversum||PM4|0|0|2022-04-27T09:05:14Z
m1836093266|Te koop gevraagd concept2 roei apparaat in Groningen?|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836093266-te-koop-gevraagd-concept2-roei-apparaat-in-groningen|NaN|26550715|PACKAGE_FREE|180|Groningen|||0|0|2022-04-27T16:50:07Z
m1836323832|Concept2 roeier model D PM3|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836323832-concept2-roeier-model-d-pm3|600|26530781|PACKAGE_FREE|15|Pijnacker|D|PM3|700|100|2022-04-28T12:08:01Z
m1836409978|Concept 2 RM5 roeitrainer|https://www.marktplaats.nl/v/sport-en-fitness/fitnessapparatuur/m1836409978-concept-2-rm5-roeitrainer|NaN|2075787|PACKAGE_FREE|162|Marum|||0|0|2022-04-28T15:42:12Z
